SAMPN,INCOM,HHSIZ,HHEMP,HHSTU,HHLIC,DOW,HTRIPS,Mon,Tue,Wed,Thu,Fri,Sat,Sun,TotDist,center,suburb,exurb,rural,other,highinc,HHVEH,HHBIC,VEHNEW,OWN,CarBuy,snglhm,ownhm,MilesPr,TrpPrs
1058056,6,5,4,1,4,5,11,0,0,0,0,1,0,0,223.908474757571,0,0,1,0,0,1,4,0,1,1,1,1,1,44.7816949515141,2.2
1058112,5,2,2,0,2,5,4,0,0,0,0,1,0,0,36.0535150330852,0,0,1,0,0,0,2,2,1,1,1,1,1,18.0267575165426,2
1058315,6,1,1,0,1,2,6,0,1,0,0,0,0,0,34.8943429331103,0,1,0,0,0,1,1,2,2,1,0,1,1,34.8943429331103,6
1058468,10,2,1,0,2,2,13,0,1,0,0,0,0,0,104.823691971644,0,1,0,0,0,1,2,4,2,1,0,1,1,52.4118459858221,6.5
1058471,98,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0
1058669,7,5,2,3,2,2,29,0,1,0,0,0,0,0,123.818707068364,0,0,0,1,0,1,2,5,1,1,1,1,1,24.7637414136728,5.8
1058857,6,5,1,2,2,2,2,0,1,0,0,0,0,0,21.9651899025579,0,0,1,0,0,1,2,0,1,1,1,1,1,4.39303798051158,.4
1058917,5,3,1,0,3,2,1,0,1,0,0,0,0,0,66.6119917586046,0,1,0,0,0,0,2,0,2,1,0,0,1,22.2039972528682,.333333333333333
1059023,2,1,1,0,1,2,2,0,1,0,0,0,0,0,10.4979173149463,0,0,0,1,0,0,1,0,8,2,0,0,0,10.4979173149463,2
1059184,5,2,2,0,2,2,4,0,1,0,0,0,0,0,19.1264275069296,0,1,0,0,0,0,2,2,2,1,0,1,1,9.56321375346479,2
1059246,9,2,2,0,2,2,6,0,1,0,0,0,0,0,115.016389294457,0,1,0,0,0,1,1,3,2,1,0,1,1,57.5081946472285,3
1059276,3,2,1,1,1,3,11,0,0,1,0,0,0,0,65.1283122238998,0,1,0,0,0,0,1,0,1,2,1,0,0,32.5641561119499,5.5
1059297,5,2,2,0,2,2,8,0,1,0,0,0,0,0,66.1374548003581,0,0,1,0,0,0,2,5,2,1,0,1,1,33.0687274001791,4
1059465,99,1,1,0,1,2,2,0,1,0,0,0,0,0,11.551441647957,1,0,0,0,0,0,1,0,1,2,1,0,0,11.551441647957,2
1059818,1,3,0,3,2,2,12,0,1,0,0,0,0,0,10.0774849474507,1,0,0,0,0,0,1,0,2,2,0,1,0,3.35916164915024,4
1059890,8,3,2,0,2,7,14,0,0,0,0,0,0,1,60.2424954040542,0,1,0,0,0,1,1,2,8,1,0,1,1,20.0808318013514,4.66666666666667
1060021,6,2,2,0,2,2,9,0,1,0,0,0,0,0,49.0644138085967,0,1,0,0,0,1,3,2,2,1,0,1,1,24.5322069042984,4.5
1060069,1,3,0,1,0,2,30,0,1,0,0,0,0,0,13.4423511022877,0,0,1,0,0,0,0,1,2,2,0,0,0,4.48078370076256,10
1060292,6,5,3,1,2,2,9,0,1,0,0,0,0,0,172.076216499362,0,1,0,0,0,1,2,2,1,1,1,1,1,34.4152432998724,1.8
1060437,4,2,0,0,2,1,8,1,0,0,0,0,0,0,53.9353378848428,1,0,0,0,0,0,2,0,2,1,0,0,1,26.9676689424214,4
1060749,5,1,1,0,0,2,14,0,1,0,0,0,0,0,18.3522567285887,0,1,0,0,0,0,0,1,8,1,0,1,1,18.3522567285887,14
1060782,2,2,1,0,2,4,15,0,0,0,1,0,0,0,113.157579112912,0,0,0,1,0,0,3,2,2,1,0,1,1,56.5787895564559,7.5
1060914,4,2,1,0,2,6,11,0,0,0,0,0,1,0,96.3090996797944,1,0,0,0,0,0,2,0,1,1,1,1,1,48.1545498398972,5.5
1061035,1,1,0,0,1,2,2,0,1,0,0,0,0,0,12.4435757705689,1,0,0,0,0,0,1,0,2,1,0,1,1,12.4435757705689,2
1061064,4,1,0,0,1,2,5,0,1,0,0,0,0,0,27.2548109226332,0,0,0,1,0,0,2,0,2,1,0,0,1,27.2548109226332,5
1061378,6,2,1,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,2,1,0,1,1,0,0
1061444,5,2,0,0,2,2,9,0,1,0,0,0,0,0,97.768403208218,0,0,0,1,0,0,2,3,1,1,1,1,1,48.884201604109,4.5
1061742,4,3,0,0,3,1,5,1,0,0,0,0,0,0,27.7250345854575,0,0,0,1,0,0,2,0,2,1,0,1,1,9.24167819515251,1.66666666666667
1061831,4,1,1,0,1,2,7,0,1,0,0,0,0,0,59.8428973373323,0,1,0,0,0,0,2,0,1,1,1,1,1,59.8428973373323,7
1061957,6,3,2,0,3,2,8,0,1,0,0,0,0,0,14.4307728716062,0,1,0,0,0,1,2,1,1,1,1,1,1,4.81025762386873,2.66666666666667
1062567,6,5,3,1,3,4,12,0,0,0,1,0,0,0,106.300315531687,1,0,0,0,0,1,2,0,1,2,1,0,0,21.2600631063375,2.4
1062745,5,2,0,0,2,1,4,1,0,0,0,0,0,0,8.66899154412374,0,0,1,0,0,0,2,2,2,1,0,1,1,4.33449577206187,2
1062827,4,2,0,0,1,2,3,0,1,0,0,0,0,0,25.0447677786689,0,0,1,0,0,0,1,1,2,1,0,1,1,12.5223838893345,1.5
1063027,4,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,1,0,0
1063561,10,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,1,1,0,0
1063648,4,4,2,2,2,4,16,0,0,0,1,0,0,0,52.2404972168287,0,0,1,0,0,0,1,0,1,2,1,1,0,13.0601243042072,4
1063692,98,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0
1063952,99,1,1,0,1,6,10,0,0,0,0,0,1,0,24.5058046206573,1,0,0,0,0,0,1,0,2,2,0,0,0,24.5058046206573,10
1064066,5,1,1,0,1,2,4,0,1,0,0,0,0,0,6.24978965629169,0,1,0,0,0,0,1,0,1,1,1,1,1,6.24978965629169,4
1064074,3,2,1,0,2,2,9,0,1,0,0,0,0,0,35.8569851480609,0,0,1,0,0,0,2,0,1,1,1,1,1,17.9284925740305,4.5
1064157,6,2,2,0,2,4,4,0,0,0,1,0,0,0,16.3434553009012,1,0,0,0,0,1,2,1,1,1,1,1,1,8.17172765045058,2
1064458,4,2,0,1,2,1,2,1,0,0,0,0,0,0,31.7528177088617,0,0,0,1,0,0,3,2,2,1,0,1,1,15.8764088544308,1
1064494,6,2,2,0,2,3,7,0,0,1,0,0,0,0,67.4041655628415,0,1,0,0,0,1,3,1,1,1,1,1,1,33.7020827814208,3.5
1064644,7,3,2,1,2,4,20,0,0,0,1,0,0,0,144.21674588704,0,1,0,0,0,1,2,3,1,1,1,1,1,48.0722486290133,6.66666666666667
1064843,5,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,0,1,1,0,0
1064939,5,2,1,1,1,2,10,0,1,0,0,0,0,0,134.499456994002,0,0,0,1,0,0,1,5,8,1,0,1,1,67.2497284970011,5
1065239,7,3,3,0,3,2,6,0,1,0,0,0,0,0,34.6209510991179,0,1,0,0,0,1,3,0,2,2,0,0,0,11.5403170330393,2
1065343,7,2,0,0,2,3,3,0,0,1,0,0,0,0,8.02276893982698,0,0,1,0,0,1,1,0,1,1,1,1,1,4.01138446991349,1.5
1065589,6,2,2,0,2,4,4,0,0,0,1,0,0,0,43.72916066,0,1,0,0,0,1,2,2,1,1,1,1,1,21.86458033,2
1065623,7,2,1,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1,1,0,1,0,0
1065778,3,1,1,0,1,1,2,1,0,0,0,0,0,0,2.85305592311987,0,1,0,0,0,0,1,1,1,1,1,1,1,2.85305592311987,2
1065850,6,1,1,0,1,2,1,0,1,0,0,0,0,0,.0163874850472836,0,1,0,0,0,1,1,0,1,1,1,1,1,.0163874850472836,1
1065856,6,3,3,0,3,6,2,0,0,0,0,0,1,0,12.5879121531295,1,0,0,0,0,1,2,2,2,1,0,1,1,4.19597071770983,.666666666666667
1065904,10,2,2,0,2,3,12,0,0,1,0,0,0,0,64.0590190715566,0,1,0,0,0,1,2,0,1,1,1,1,1,32.0295095357783,6
1065929,9,2,2,0,2,2,4,0,1,0,0,0,0,0,54.32930402,0,1,0,0,0,1,2,2,8,1,0,1,1,27.16465201,2
1066319,3,2,0,1,2,4,12,0,0,0,1,0,0,0,202.666011591689,0,1,0,0,0,0,2,2,1,1,1,1,1,101.333005795844,6
1066337,5,2,0,0,2,2,11,0,1,0,0,0,0,0,12.0985148451733,0,1,0,0,0,0,4,0,2,1,0,1,1,6.04925742258667,5.5
1066375,6,2,2,0,2,2,7,0,1,0,0,0,0,0,76.5898001006186,0,1,0,0,0,1,2,0,1,1,1,1,1,38.2949000503093,3.5
1066380,5,2,1,0,1,6,10,0,0,0,0,0,1,0,105.93367977572,0,1,0,0,0,0,1,0,1,1,1,1,1,52.96683988786,5
1066541,8,3,2,0,2,3,11,0,0,1,0,0,0,0,133.129478962691,0,1,0,0,0,1,2,2,1,1,1,1,1,44.3764929875637,3.66666666666667
1066658,6,2,0,0,2,1,6,1,0,0,0,0,0,0,100.333663393325,0,0,0,1,0,1,2,2,2,1,0,1,1,50.1668316966625,3
1066662,1,1,0,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0
1066671,98,3,1,1,3,2,6,0,1,0,0,0,0,0,80.2388374409376,0,1,0,0,0,0,2,0,1,2,1,1,0,26.7462791469792,2
1066772,2,1,1,0,1,2,4,0,1,0,0,0,0,0,10.630355702047,1,0,0,0,0,0,1,0,2,2,0,0,0,10.630355702047,4
1067070,4,1,1,0,1,2,6,0,1,0,0,0,0,0,15.7086852568807,0,0,0,1,0,0,1,3,2,1,0,1,1,15.7086852568807,6
1067129,7,1,1,0,1,2,3,0,1,0,0,0,0,0,9.89939162013657,0,1,0,0,0,1,1,0,1,1,1,1,1,9.89939162013657,3
1067135,2,1,0,0,1,6,4,0,0,0,0,0,1,0,1.42089257205901,0,1,0,0,0,0,1,1,2,2,0,1,0,1.42089257205901,4
1067240,8,4,2,2,2,2,26,0,1,0,0,0,0,0,55.4294590371697,1,0,0,0,0,1,2,3,1,1,1,1,1,13.8573647592924,6.5
1067366,5,3,3,0,3,2,8,0,1,0,0,0,0,0,44.0614648686754,0,1,0,0,0,0,3,0,1,1,1,1,1,14.6871549562251,2.66666666666667
1067415,5,2,0,0,2,2,8,0,1,0,0,0,0,0,17.7933207007157,1,0,0,0,0,0,2,0,1,1,1,1,1,8.89666035035785,4
1067632,5,2,1,1,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0
1067722,4,3,2,0,1,2,4,0,1,0,0,0,0,0,25.4505834065517,0,1,0,0,0,0,1,2,2,1,0,0,1,8.48352780218391,1.33333333333333
1067758,6,2,1,0,2,2,4,0,1,0,0,0,0,0,114.029275017262,0,0,0,1,0,1,3,0,1,1,1,1,1,57.0146375086311,2
1067881,3,3,3,1,3,7,34,0,0,0,0,0,0,1,348.567170802309,1,0,0,0,0,0,2,0,1,1,1,1,1,116.189056934103,11.3333333333333
1067909,7,5,3,0,4,5,16,0,0,0,0,1,0,0,108.369534711857,1,0,0,0,0,1,4,3,1,1,1,1,1,21.6739069423714,3.2
1067918,10,2,1,0,2,3,6,0,0,1,0,0,0,0,41.3601580244627,0,0,1,0,0,1,2,1,1,1,1,1,1,20.6800790122313,3
1067977,5,2,2,0,2,2,8,0,1,0,0,0,0,0,152.785707375432,0,0,0,1,0,0,2,2,1,2,1,1,0,76.3928536877158,4
1068481,5,1,0,1,1,2,5,0,1,0,0,0,0,0,7.34118475103408,0,1,0,0,0,0,1,1,1,1,1,1,1,7.34118475103408,5
1069520,4,1,0,0,1,2,2,0,1,0,0,0,0,0,18.4299748020943,0,1,0,0,0,0,1,0,2,1,0,1,1,18.4299748020943,2
1069723,5,2,1,0,1,2,6,0,1,0,0,0,0,0,5.57356634957039,1,0,0,0,0,0,1,0,2,2,0,0,0,2.7867831747852,3
1069944,7,2,0,0,2,2,2,0,1,0,0,0,0,0,3.33127685277924,0,1,0,0,0,1,2,0,1,1,1,1,1,1.66563842638962,1
1069984,2,1,1,0,1,2,2,0,1,0,0,0,0,0,5.62606019515228,0,0,1,0,0,0,1,1,1,2,1,0,0,5.62606019515228,2
1070161,6,1,0,0,1,4,5,0,0,0,1,0,0,0,17.3800378394853,0,0,0,1,0,1,2,0,1,1,1,1,1,17.3800378394853,5
1071082,99,1,0,0,0,2,6,0,1,0,0,0,0,0,1.02074760729432,1,0,0,0,0,0,0,0,2,2,0,0,0,1.02074760729432,6
1087188,7,1,1,0,1,2,10,0,1,0,0,0,0,0,21.7883435768304,0,1,0,0,0,1,1,4,2,1,0,1,1,21.7883435768304,10
1087406,2,1,0,0,1,2,6,0,1,0,0,0,0,0,14.5366611602726,0,1,0,0,0,0,2,0,2,1,0,0,1,14.5366611602726,6
1087526,4,1,1,0,1,2,5,0,1,0,0,0,0,0,15.4444250062373,1,0,0,0,0,0,1,0,8,2,0,0,0,15.4444250062373,5
1087626,5,1,0,0,1,2,5,0,1,0,0,0,0,0,23.9826020494997,0,0,0,1,0,0,2,1,1,1,1,1,1,23.9826020494997,5
1088092,4,2,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,1,0,0
